SMILES	GABAAalpha	NMDA	O00222	O15303	P41594	Q13255	Q14416	Q14643	Q14831	Q14832	Q14833
C=CCN(C)c1c2c(ncc1)sc1c2ncn(-c2ccc(Cl)cc2)c1=O					5.523	8.96					
C=CCN(C)c1c2c(ncc1)sc1c2ncn(-c2ccc(OC)cc2)c1=O					5.523						
C=CCN(C)c1ccnc2c1c1c(s2)c(=O)n(-c2ccc(OC)cc2)cn1						8.16					
C=CCN(Cc1cc(CN(CC=C)C(=N)N)ccc1)C(=N)N		4.975									
C=CCN1CCc2c(C1)c1nc(-c3c(F)cccc3)cn1c(O)n2	6.593333333333334										
C=CCNc1c2c(ncc1)sc1c2ncn(-c2ccc(Br)cc2)c1=O					5.523	7.9					
C=CCNc1c2c(ncc1)sc1c2ncn(-c2ccc(C)cc2)c1=O					5.523	7.96					
C=CCNc1c2c(ncc1)sc1c2ncn(-c2ccc(Cl)cc2)c1=O					5.523						
C=CCNc1c2c(ncc1)sc1c2ncn(-c2ccc(F)c(OC)c2)c1=O					5.523	8.17					
C=CCNc1c2c(ncc1)sc1c2ncn(-c2ccc(F)cc2)c1=O					5.523	8.36					
C=CCNc1c2c(ncc1)sc1c2ncn(-c2ccc(OC)cc2)c1=O					5.523	8.7					
C=CCNc1ccnc2c1c1c(s2)c(=O)n(-c2ccc(Cl)cc2)cn1						7.221					
C=CCOC(=O)c1c(C)nc2c(c1N)c1c(cccc1)n2C	5.419999999999999										
C=CCc1c(O)ccc(-c2ccc(O)c(CC=C)c2)c1	4.62										
C=CCc1cc(-c2c(O)ccc(CC(C)Br)c2)ccc1OC	5.08										
C=CCc1cc(-c2c(O)ccc(CC=C)c2)c(O)cc1	4.43										
C=CCc1cc(-c2c(OC)ccc(CC=C)c2)c(O)cc1	4.26										
C=CCc1cc(-c2cc(CC=C)c(OC)cc2)c(O)c(NC(C)=O)c1	5.18675										
C=CCc1cc(-c2cc(CC=C)c(OC)cc2)c(O)cc1	4.57										
C=CCc1cc(-c2cc(CC=C)c(OC)cc2)c(OC)cc1	4.38										
C=CCc1cc(-c2cc(CC=C)c(OCCC)cc2)c(OC2CC2)cc1	4.66										
C=CCc1cc(-c2ccc(OC)c(C=CC)c2)c(O)cc1	4.71										
C=CCc1cc(-c2ccc(OC)c(CC(C)Br)c2)c(O)cc1	4.77										
C=CCc1cc(-c2ccc(OC)c(CC=C)c2)c(O)c(N(C)C)c1	4.73										
C=CCc1cc(-c2ccc(OC)c(CC=C)c2)c(O)c(N)c1	4.91										
C=CCc1cc(-c2ccc(OC)c(CC=C)c2)c(O)c(NC)c1	5.03										
C=CCc1cc(-c2ccc(OC)c(CC=C)c2)c(O)c(NCC)c1	5.11										
C=CCc1cc(-c2ccc(OC)c(CC=C)c2)c(O)c([N+](=O)[O-])c1	4.6										
C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1	4.372										
C=CCc1ccc(O)c(-c2ccc(OCC)c(CC=C)c2)c1	4.22										
C=CCc1ccc(OC)c(-c2cc(CC=C)c(O)c(N)c2)c1	4.081										
C=CCc1ccc(OCC)c(-c2cc(CC=C)c(O)c(N)c2)c1	4.67										
C=CCc1ccc(OCC)c(-c2ccc(O)c(CC=C)c2)c1	4.84										
C=CCc1ccc(OCCC)c(-c2ccc(O)c(CC=C)c2)c1	4.83										
C=CCc1cccc(-c2c(O)c(CC=C)ccc2)c1O	4.45										
C=Cc1c2CCN3C(=O)CN=C(n4cnc(COC)c4)C=C3c2ccc1					7.41	5.8					
C=Cc1cc(C#Cc2csc(C)n2)cnc1					8.85						
C=Cc1cc2c(cc1)-n1cnc(C(=O)OCC)c1CN(C)C2=O	8.4075										
C=Cc1ccc(-n2cnc3c(scc3-c3ccccc3)c2=O)cc1						6.89					
C=Cc1ccc(N2CCN(Cc3c[nH]c4c3cccn4)CC2)cc1		5.0									
C=Cc1ccc([N+](=O)[O-])c(N2CCN(C(=O)C#Cc3ccccc3)CC2)n1					7.38						
C=Cc1ccc2c(c1)C(=O)N1CCCC1c1c(C(=O)OC(C)(C)C)ncn-21	7.63										
C=Cc1ccc2c(c1)C(=O)N1CCCC1c1c(C(=O)OCC(F)(F)F)ncn-21	7.156666666666666										
C=Cc1cccc(-n2cnc3c(scc3-c3ccccc3)c2=O)c1						7.13					
C=Cc1ncc(C#Cc2csc(C)n2)cc1					5.0						
C=Cc1nnc2c3c(cccc3)c(OCc3ncccc3)nn12	7.8275										
CC#Cc1cc2c(cc1)-n1cnc(C(=O)OCC)c1CN(C)C2=O	8.0525										
CC#Cc1ccc(C2SCC(C(C)(C)C)CS2)cc1	7.46										
CC(=CC(N)C(=O)O)CP(=O)(O)O		7.67									
CC(=CC1CCC(C)C2CCC(C)=C12)C(=O)O	4.72										
CC(=O)C1CCC2C3CC=C4CC(N=C(N)Nc5c(C)cccc5)CCC4(C)C3CCC12C		5.0									
CC(=O)C1CCC2C3CC=C4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C		4.27625									
CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4(C)C3CCC12C	6.966333333333332										
CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4C3CCC12C	6.742000000000001										
CC(=O)C1CCC2C3CCC4CC(O)(C#Cc5c(O)cccc5)CCC4(C)C3CCC12C	6.47										
CC(=O)C1CCC2C3CCC4CC(O)(C#Cc5ccc(C=O)cc5)CCC4(C)C3CCC12C	7.51										
CC(=O)C1CCC2C3CCC4CC(O)(C#Cc5ccc(N(C)C)cc5)CCC4(C)C3CCC12C	7.75										
CC(=O)C1CCC2C3CCC4CC(O)(C#Cc5ccc(N)cc5)CCC4(C)C3CCC12C	6.0										
CC(=O)C1CCC2C3CCC4CC(O)(C#Cc5ccc(O)cc5)CCC4(C)C3CCC12C	6.0										
CC(=O)C1CCC2C3CCC4CC(O)(C(F)(F)F)CCC4(C)C3CCC12C	6.41										
CC(=O)C1CCC2C3CCC4CC(O)(CN(C)C)CCC4(C)C3CCC12C	4.301										
CC(=O)C1CCC2C3CCC4CC(O)(CN=[N+]=[N-])CCC4(C)C3CCC12C	6.82										
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C	5.9015										
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(OC(=O)c3c(F)c(F)c(N=[N+]=[N-])c(F)c3F)CC12C	6.523										
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C3(CC12C)N=N3	6.403										
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	7.104333333333333										
CC(=O)C1CCC2C3CCC4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C		4.606									
CC(=O)CCn1ccc2c1cc(-c1ccc(F)cc1)cn2		7.9									
CC(=O)N(C)C(c1c2nc(O)c(O)nc2ccc1)P(=O)(O)O		5.835428571428571									
CC(=O)N(c1ccc(Cl)cc1)c1ccnc(-c2ccccn2)n1					5.0						
CC(=O)N1C2CCC1CC(O)(C#Cc1cccc(C)c1)C2					6.2620000000000005						
CC(=O)N1CC(Oc2ccc3oc(-c4ncc5ccsc5c4)cc(=NO)c3c2)C1											7.28
CC(=O)N1CCC(COc2ccc3oc(-c4ncc5ccsc5c4)cc(=NO)c3c2)CC1											8.22
CC(=O)N1CCC(Oc2ccc3oc(-c4cc5cccn5cn4)cc(=NO)c3c2)CC1											8.0
CC(=O)N1CCCc2c1oc(COc1ccccc1)n2					5.87						
CC(=O)N1CCCc2c1sc(COc1ccccc1)n2					6.05						
CC(=O)N1CCCc2nc(COc3ccccc3)cn21					6.11						
CC(=O)N1CCCn2nc(CN(C)C3C4CC3C4)cc12					4.5						
CC(=O)N1CCCn2nc(CN(C)c3ccccc3)cc12					6.155						
CC(=O)N1CCCn2nc(CN3CCOc4c3cccc4)cc12					6.14						
CC(=O)N1CCCn2nc(CN3CCc4c3cccc4)cc12					4.5						
CC(=O)N1CCCn2nc(COc3c(F)cccc3)cc12					5.625						
CC(=O)N1CCCn2nc(COc3cc(F)cc(F)c3)cc12					5.9						
CC(=O)N1CCCn2nc(COc3cc(F)ccc3)cc12					6.6						
CC(=O)N1CCCn2nc(COc3ccccc3)c(F)c12					5.49						
CC(=O)N1CCCn2nc(COc3ccccc3)cc12			5.0	5.0	6.44	5.0	5.0		5.0	5.0	5.0
CC(=O)N1CCCn2nc(COc3ccccc3)nc12					5.47						
CC(=O)N1CCCn2nc(COc3ccncc3)cc12					4.5						
CC(=O)N1CCCn2nc(COc3cnccc3)cc12					4.5						
CC(=O)N1CCCn2nc(CS(=O)(=O)c3ccccc3)cc12					4.5						
CC(=O)N1CCCn2nc(CSc3ccccc3)cc12					5.41						
CC(=O)N1CCCn2nc(C[S+]([O-])c3ccccc3)cc12					4.5						
CC(=O)N1CCN(CCOc2ccc3c(-c4cn(-c5ccccc5)nc4)ccnc3c2)CC1											6.16
CC(=O)N1CCN(Cc2cn3cc(C)nc(C#Cc4ccccc4)c3c2)CC1					6.5						
CC(=O)N1CCOc2c1ccc(C#Cc1ccccc1)n2					7.21						
CC(=O)N1CCOc2c1ccc(OCc1ccccc1)n2					6.125						
CC(=O)N1CCOc2c1ncc(COc1ccccc1)c2					6.15						
CC(=O)N1CCc2c(C1)c1nc(-c3c(F)cccc3)cn1c(O)n2	7.15										
CC(=O)N1CCc2c(C1)sc(C#Cc1ccccc1)n2					7.05						
CC(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2c1cccc2	7.74										
CC(=O)N1c2cc(COc3ccccc3)nn2CCC1C					6.1						
CC(=O)N1c2cc(COc3ccccc3)nn2CCC1c1ccccc1					5.27						
CC(=O)NC(=O)c1ccc(COc2cc3c(C(=O)C(C)(C4CCCC4)C3)c(Cl)c2Cl)cc1							6.357				
CC(=O)NC1C2C(C(=O)O)C2C(N)(C(=O)O)C1OCc1ccc(Cl)c(Cl)c1							7.58			7.84	
CC(=O)NC1CC(N)(C(=O)O)C2C(C(=O)O)C12			5.37	5.497999999999999			5.966			6.4110000000000005	
CC(=O)NC1CCN(Cc2ccc3c(-c4ccc(F)cc4)cc(C(N)=O)nc3c2)C1							6.73				
CC(=O)NC1N=C(c2ccccc2)c2c(cccc2)NC1=O	5.0										
CC(=O)NCCCCNC(=O)c1c(C)c(C(=O)OC2CC3CCC2C3)c(C)[nH]1						6.0					
CC(=O)NCCCCNC(=O)c1c(C)c(C(=O)OC2CC3CCC2C3)c[nH]1						6.7					
